ID,Portfolio_No,Exp,Amount,Portfolio1,Portfolio2,Portfolio3,Portfolio4,Portfolio5
6289421097,2,8993.42,1006.58,"(['BFINVEST.NS', 389.6499938964844, 432.9223489747317, 1], ['HCL-INSYS.NS', 13.199999809265137, 297.5399574175912, 5], ['YESBANK.BO', 15.369999885559082, 155.448630858573, 4], ['HINDMOTORS.NS', 13.949999809265137, 114.66748218846357, 5], ['DALMIASUG.NS', 347.45001220703125, 73.02748913905329, 1], ['JINDRILL.NS', 276.1499938964844, 71.30875451137263, 1], ['KERNEX.NS', 288.1000061035156, 52.9088480097538, 1])","(['BFINVEST.NS', 389.6499938964844, 432.9223489747317, 3], ['HCL-INSYS.NS', 13.199999809265137, 297.5399574175912, 12], ['YESBANK.BO', 15.369999885559082, 155.448630858573, 12], ['ATULAUTO.NS', 321.79998779296875, 145.29823102367848, 3], ['VENKEYS.NS', 1576.6500244140625, 97.5634240489734, 2], ['JINDRILL.NS', 276.1499938964844, 71.30875451137263, 3], ['CENTUM.NS', 517.9500122070312, 66.0708009236341, 2])",,,
8436102929,2,13992.67,3502.17,"(['BFINVEST.NS', 389.6499938964844, 432.9223489747317, 1], ['HCL-INSYS.NS', 13.199999809265137, 297.5399574175912, 5], ['YESBANK.BO', 15.369999885559082, 155.448630858573, 4], ['HINDMOTORS.NS', 13.949999809265137, 114.66748218846357, 5], ['DALMIASUG.NS', 347.45001220703125, 73.02748913905329, 1], ['JINDRILL.NS', 276.1499938964844, 71.30875451137263, 1], ['KERNEX.NS', 288.1000061035156, 52.9088480097538, 1])","(['THEINVEST.NS', 76.25, 4.523590548155731, 4], ['KERNEX.NS', 288.1000061035156, 2.118611350653309, 4], ['RAJMET.NS', 12.300000190734863, 1.57955736137703, 6], ['DALMIASUG.NS', 347.45001220703125, 1.295310147264903, 4], ['3IINFOLTD.NS', 32.0, 0.9124302905799464, 5], ['ATULAUTO.NS', 321.79998779296875, 0.637244063597448, 4], ['FINOPB.NS', 210.3500061035156, 0.0434567111908805, 3])",,,
1874147945,0,0.0,10000.0,,,,,
9874147945,2,9787.13,6707.29,"(['THEINVEST.NS', 76.25, 4.523590548155731, 3], ['KERNEX.NS', 288.1000061035156, 2.118611350653309, 2], ['RAJMET.NS', 12.300000190734863, 1.57955736137703, 4], ['DALMIASUG.NS', 347.45001220703125, 1.295310147264903, 2], ['3IINFOLTD.NS', 32.0, 0.9124302905799464, 3], ['ATULAUTO.NS', 321.79998779296875, 0.637244063597448, 2], ['FINOPB.NS', 210.3500061035156, 0.0434567111908805, 1])","(['GICHSGFIN.NS', 160.10000610351562, 76.95708584668705, 1], ['HCL-INSYS.NS', 13.199999809265137, 297.5399574175912, 4], ['YESBANK.BO', 15.369999885559082, 155.448630858573, 3], ['HINDMOTORS.NS', 13.949999809265137, 114.66748218846357, 3], ['HERITGFOOD.NS', 137.8000030517578, 30.49505773493897, 1], ['20MICRONS.NS', 66.94999694824219, 2.61808138740908, 1], ['KERNEX.NS', 288.1000061035156, 52.9088480097538, 1])",,,
8874147945,5,14982.71,-3773.37,"(['BFINVEST.NS', 389.6499938964844, 432.9223489747317, 2], ['HCL-INSYS.NS', 13.199999809265137, 297.5399574175912, 9], ['YESBANK.BO', 15.369999885559082, 155.448630858573, 9], ['ATULAUTO.NS', 321.79998779296875, 145.29823102367848, 1], ['DALMIASUG.NS', 347.45001220703125, 73.02748913905329, 1], ['JINDRILL.NS', 276.1499938964844, 71.30875451137263, 1], ['CENTUM.NS', 517.9500122070312, 66.0708009236341, 1])","(['BFINVEST.NS', 389.6499938964844, 432.9223489747317, 1], ['HCL-INSYS.NS', 13.199999809265137, 297.5399574175912, 3], ['YESBANK.BO', 15.369999885559082, 155.448630858573, 3], ['ATULAUTO.NS', 321.79998779296875, 145.29823102367848, 2], ['VENKEYS.NS', 1576.6500244140625, 97.5634240489734, 1], ['JINDRILL.NS', 276.1499938964844, 71.30875451137263, 1], ['CENTUM.NS', 517.9500122070312, 66.0708009236341, 1])","(['BFINVEST.NS', 389.6499938964844, 432.9223489747317, 1], ['HCL-INSYS.NS', 13.199999809265137, 297.5399574175912, 2], ['YESBANK.BO', 15.369999885559082, 155.448630858573, 2], ['HINDMOTORS.NS', 13.949999809265137, 114.66748218846357, 1], ['HERITGFOOD.NS', 137.8000030517578, 30.49505773493897, 1], ['RAJMET.NS', 12.300000190734863, -170.32923949452453, 1], ['KERNEX.NS', 288.1000061035156, 52.9088480097538, 1])","(['THEINVEST.NS', 76.25, 4.523590548155731, 1], ['KERNEX.NS', 288.1000061035156, 2.118611350653309, 1], ['RAJMET.NS', 12.300000190734863, 1.57955736137703, 2], ['HERITGFOOD.NS', 137.8000030517578, -0.1571025059238501, 1], ['3IINFOLTD.NS', 32.0, 0.9124302905799464, 1], ['ATULAUTO.NS', 321.79998779296875, 0.637244063597448, 1], ['DHANBANK.NS', 15.100000381469728, -0.219218469601633, 1])","(['BFINVEST.NS', 389.6499938964844, 432.9223489747317, 2], ['HCL-INSYS.NS', 13.199999809265137, 297.5399574175912, 12], ['YESBANK.BO', 15.369999885559082, 155.448630858573, 12], ['ATULAUTO.NS', 321.79998779296875, 145.29823102367848, 2], ['VENKEYS.NS', 1576.6500244140625, 97.5634240489734, 2], ['JINDRILL.NS', 276.1499938964844, 71.30875451137263, 2], ['CENTUM.NS', 517.9500122070312, 66.0708009236341, 1])"
4874147945,0,0.0,10000.0,,,,,
